x	y	line_id
70.249	128.153	0082-0122
70.173	128.219	0082-0122
70.098	128.284	0082-0122
70.022	128.349	0082-0122
69.946	128.415	0082-0122
69.871	128.480	0082-0122
69.795	128.545	0082-0122
69.719	128.611	0082-0122
69.644	128.676	0082-0122
69.568	128.741	0082-0122
69.492	128.807	0082-0122
69.416	128.872	0082-0122
69.341	128.937	0082-0122
69.265	129.003	0082-0122
69.189	129.068	0082-0122
69.114	129.133	0082-0122
69.038	129.199	0082-0122
68.962	129.264	0082-0122
68.886	129.329	0082-0122
68.811	129.395	0082-0122
68.735	129.460	0082-0122
68.659	129.525	0082-0122
68.584	129.591	0082-0122
68.508	129.656	0082-0122
68.432	129.721	0082-0122
68.356	129.787	0082-0122
68.281	129.852	0082-0122
68.205	129.917	0082-0122
68.129	129.982	0082-0122
68.054	130.048	0082-0122
67.978	130.113	0082-0122
67.902	130.178	0082-0122
67.826	130.244	0082-0122
67.751	130.309	0082-0122
67.675	130.374	0082-0122
67.599	130.440	0082-0122
67.524	130.505	0082-0122
67.448	130.570	0082-0122
67.372	130.636	0082-0122
67.296	130.701	0082-0122
67.221	130.766	0082-0122
67.145	130.832	0082-0122
67.069	130.897	0082-0122
66.994	130.962	0082-0122
66.918	131.028	0082-0122
66.842	131.093	0082-0122
66.766	131.158	0082-0122
66.691	131.224	0082-0122
66.615	131.289	0082-0122
66.539	131.354	0082-0122
66.464	131.420	0082-0122
66.388	131.485	0082-0122
66.312	131.550	0082-0122
66.236	131.616	0082-0122
66.161	131.681	0082-0122
66.085	131.746	0082-0122
66.009	131.812	0082-0122
65.934	131.877	0082-0122
65.858	131.942	0082-0122
65.782	132.008	0082-0122
65.706	132.073	0082-0122
65.631	132.138	0082-0122
65.555	132.204	0082-0122
65.479	132.269	0082-0122
65.404	132.334	0082-0122
65.328	132.400	0082-0122
65.252	132.465	0082-0122
65.176	132.530	0082-0122
65.101	132.596	0082-0122
65.025	132.661	0082-0122
64.949	132.726	0082-0122
64.874	132.792	0082-0122
64.798	132.857	0082-0122
64.722	132.922	0082-0122
64.646	132.988	0082-0122
64.571	133.053	0082-0122
64.495	133.118	0082-0122
64.419	133.184	0082-0122
64.344	133.249	0082-0122
64.268	133.314	0082-0122
64.192	133.380	0082-0122
64.117	133.445	0082-0122
64.041	133.510	0082-0122
63.965	133.575	0082-0122
63.889	133.641	0082-0122
63.814	133.706	0082-0122
63.738	133.771	0082-0122
63.662	133.837	0082-0122
63.587	133.902	0082-0122
63.511	133.967	0082-0122
63.435	134.033	0082-0122
63.359	134.098	0082-0122
63.284	134.163	0082-0122
63.208	134.229	0082-0122
63.132	134.294	0082-0122
63.057	134.359	0082-0122
62.981	134.425	0082-0122
62.905	134.490	0082-0122
62.829	134.555	0082-0122
62.754	134.621	0082-0122
62.678	134.686	0082-0122
62.602	134.751	0082-0122
62.527	134.817	0082-0122
62.451	134.882	0082-0122
62.375	134.947	0082-0122
62.299	135.013	0082-0122
62.224	135.078	0082-0122
62.148	135.143	0082-0122
62.072	135.209	0082-0122
61.997	135.274	0082-0122
61.921	135.339	0082-0122
61.845	135.405	0082-0122
61.769	135.470	0082-0122
61.694	135.535	0082-0122
61.618	135.601	0082-0122
61.542	135.666	0082-0122
61.467	135.731	0082-0122
61.391	135.797	0082-0122
61.315	135.862	0082-0122
61.239	135.927	0082-0122
61.164	135.993	0082-0122
61.088	136.058	0082-0122
61.012	136.123	0082-0122
60.937	136.189	0082-0122
60.861	136.254	0082-0122
60.785	136.319	0082-0122
60.709	136.385	0082-0122
60.634	136.450	0082-0122
60.558	136.515	0082-0122
60.482	136.581	0082-0122
